odometer,year,state_encoded,odometer^2,odometer year,odometer state_encoded,year^2,year state_encoded,state_encoded^2,odometer^3,odometer^2 year,odometer^2 state_encoded,odometer year^2,odometer year state_encoded,odometer state_encoded^2,year^3,year^2 state_encoded,year state_encoded^2,state_encoded^3
152296.0,1999.0,17844.73610223642,23194071616.0,304439704.0,2717681929.426198,3996001.0,35671627.4683706,318434606.5584599,3532364330830336.0,46364949160384.0,413892087123892.25,608574968296.0,5432646176922.969,48496316840427.2,7988005999.0,71307583309.27283,636550778510.3613,5682381519855.199
23100.0,2020.0,13234.48772763262,533610000.0,46662000.0,305716666.50831354,4080400.0,26733665.209817894,175151665.41285846,12326391000000.0,1077892200000.0,7062054996342.043,94257240000.0,617547666346.7933,4046003471037.0303,8242408000.0,54002003723.832146,353806364133.97406,2318042566380.89
59350.0,2015.0,17046.479746835445,3522422500.0,119590250.0,1011708572.9746836,4060225.0,34348656.68987342,290582471.759271,209055775375000.0,7097681337500.0,60044903806047.48,240974353750.0,2038592774543.9875,17246069698912.736,8181353375.0,69212543230.09494,585523680594.9312,4953408219629.796
135365.0,2012.0,18531.49418604651,18323683225.0,272354380.0,2508515710.494186,4048144.0,37285366.302325584,343416276.76747566,2480385379752125.0,36867250648700.0,339565229151045.5,547977012560.0,5047133609514.303,46486544304629.34,8144865728.0,75018157000.27907,690953548856.161,6364016736310.215
157500.0,2015.0,16275.542699724518,24806250000.0,317362500.0,2563397975.2066116,4060225.0,32795218.539944902,264893290.17055604,3906984375000000.0,49984593750000.0,403735181095041.3,639485437500.0,5165246920041.322,41720693201862.58,8181353375.0,66082365357.988976,533759979693.6704,4311282055041.402
183761.0,2010.0,19267.221436984688,33768105121.0,369359610.0,3540563878.4817433,4040100.0,38727115.088339224,371225821.9018023,6205260765140081.0,67873891293210.0,650617558873683.6,742412816100.0,7116533395748.305,68216828258497.09,8120601000.0,77841501327.56184,746163902022.6227,7152490113708.665
130150.0,2011.0,22342.384778012685,16939022500.0,261731650.0,2907861378.8583508,4044121.0,44930535.78858351,499182157.568773,2204613778375000.0,34064374247500.0,378458158458414.4,526342348150.0,5847709232884.144,64968557807575.805,8132727331.0,90355307470.84143,1003855318870.8025,11152919838720.082
81610.0,2014.0,18771.65240378704,6660192100.0,164362540.0,1531954552.6730604,4056196.0,37806107.9412271,352374933.9686038,543538277281000.0,13413626889400.0,125022811043648.45,331026155560.0,3085356469083.5435,28757318361177.754,8169178744.0,76141501393.63138,709683117012.7681,6614659776266.041
19416.0,2018.0,17749.70385073442,376981056.0,39181488.0,344628249.9658595,4072324.0,35818902.370782055,315051986.7887763,7319464183296.0,760747771008.0,6691302101337.128,79068242784.0,695459808431.1044,6117049375490.88,8217949832.0,72282544984.23819,635774909339.7505,5592079463086.271
99332.0,2013.0,17944.469933184857,9866846224.0,199955316.0,1782460087.4031181,4052169.0,36122217.97550112,322004001.18297535,980093569122368.0,19861961448912.0,177055325401926.53,402510051108.0,3588092155942.477,31985301445507.31,8157016197.0,72714024784.68376,648194054381.3293,5778191117593.122
